Al Hayba (S5E1),"00:16:34,160 --> 00:16:37,920",Speaker_1,ويعني الكهرباء ويعني الخضار من جميع الأشكال والألوان,467b83b7-bc78-40e8-88a3-6a8991179a2d
Al Hayba (S5E1),"00:16:38,040 --> 00:16:39,480",Speaker_2,ماذا نريد أفضل من ذلك؟,467b83b7-bc78-40e8-88a3-6a8991179a2d
Al Hayba (S5E1),"00:16:39,680 --> 00:16:43,920",Speaker_1,أي سد يا رجل طالما لا يوجد إسفلت في الطريق؟,467b83b7-bc78-40e8-88a3-6a8991179a2d
Al Hayba (S5E1),"00:16:44,040 --> 00:16:48,320",Speaker_2,أحضروا حجر الأساس ووضعوه وانتظر وعد الأيام حتى يكتمل السد,467b83b7-bc78-40e8-88a3-6a8991179a2d
Al Hayba (S5E1),"00:16:48,760 --> 00:16:50,680",Speaker_1,اسمع لماذا أنت غاضب؟,467b83b7-bc78-40e8-88a3-6a8991179a2d
Al Hayba (S5E1),"00:16:51,080 --> 00:16:56,320",Speaker_2,لو أنهم يضعون حجر أساس كل يوم ويقيموا وليمة كهذه الوليمة,467b83b7-bc78-40e8-88a3-6a8991179a2d
Al Hayba (S5E1),"00:16:56,560 --> 00:16:58,400",Speaker_1,تناول حجر الأساس هذا إذاً,467b83b7-bc78-40e8-88a3-6a8991179a2d
Al Hayba (S5E1),"00:17:16,800 --> 00:17:17,800",Speaker_1,مرحباً,7673dad4-7c76-455d-85e7-e61faf47427e
Al Hayba (S5E1),"00:17:18,000 --> 00:17:20,280",Speaker_2,لقد اخترتم حرباً مفتوحة,7673dad4-7c76-455d-85e7-e61faf47427e
Al Hayba (S5E1),"00:17:21,240 --> 00:17:24,920",Speaker_1,إن كنت تظن أن موت زيدان سيمر ببساطة,7673dad4-7c76-455d-85e7-e61faf47427e
Al Hayba (S5E1),"00:17:25,440 --> 00:17:26,960",Speaker_2,فإنك مخطئ,7673dad4-7c76-455d-85e7-e61faf47427e
Al Hayba (S5E1),"00:17:32,120 --> 00:17:33,680",Speaker_1,نحن الرقم الصعب,b7659465-3a51-4b76-b18b-039447784cf3
Al Hayba (S5E1),"00:17:35,000 --> 00:17:39,120",Speaker_2,إما أن تنسى الماضي وتنهي هذه الحرب على خير,b7659465-3a51-4b76-b18b-039447784cf3
Al Hayba (S5E1),"00:17:39,240 --> 00:17:42,440",Speaker_1,وتتقبل خسائرك وتمضي قدماً,b7659465-3a51-4b76-b18b-039447784cf3
Al Hayba (S5E1),"00:17:42,920 --> 00:17:46,720",Speaker_2,أو أن الحرب ستبقى مفتوحة وأنت من يختار,b7659465-3a51-4b76-b18b-039447784cf3
Al Hayba (S5E1),"00:18:40,920 --> 00:18:42,880",Speaker_1,أهلاً أهلاً يا حبيبتي,f0828719-1594-4516-9296-ae394b286fba
Al Hayba (S5E1),"00:18:43,000 --> 00:18:44,000",Speaker_2,أهلاً,f0828719-1594-4516-9296-ae394b286fba
Al Hayba (S5E1),"00:18:44,120 --> 00:18:46,080",Speaker_1,أهلاً يا حفيدي  مرحباً يا جدتي,f0828719-1594-4516-9296-ae394b286fba
Al Hayba (S5E1),"00:21:41,840 --> 00:21:44,680",Speaker_1,الله أكبر الله أكبر,b31af32e-f271-4a97-b456-a776ae1f5c70
Al Hayba (S5E1),"00:21:44,880 --> 00:21:48,440",Speaker_2,أسرعوا وأخرجوهما هيا رجاءً,b31af32e-f271-4a97-b456-a776ae1f5c70
Al Hayba (S5E1),"00:21:48,720 --> 00:21:51,640",Speaker_1,الله أكبر الله أكبر,b31af32e-f271-4a97-b456-a776ae1f5c70
Al Hayba (S5E1),"00:21:51,760 --> 00:21:53,520",Speaker_2,فلنخرج الجسدين,b31af32e-f271-4a97-b456-a776ae1f5c70
Al Hayba (S5E1),"00:21:53,640 --> 00:21:57,200",Speaker_1,هيا رجاءً هيا بسرعة,b31af32e-f271-4a97-b456-a776ae1f5c70
Al Hayba (S5E1),"00:23:08,600 --> 00:23:10,960",Speaker_1,إن كان أحدكم قد نسي شيئاً فليتذكره الآن,18907dda-2805-497c-bdda-c2bd206f4cda
Al Hayba (S5E1),"00:23:14,400 --> 00:23:15,520",Speaker_2,أتريد قول شيء؟,18907dda-2805-497c-bdda-c2bd206f4cda
Al Hayba (S5E1),"00:23:15,640 --> 00:23:18,280",Speaker_1,لا ليس عندي ما أقوله أكثر مما قاله الشباب,18907dda-2805-497c-bdda-c2bd206f4cda
Al Hayba (S5E1),"00:23:32,320 --> 00:23:34,600",Speaker_1,عبوة ناسفة مزروعة على جانب الطريق,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:35,400 --> 00:23:37,000",Speaker_2,أصابت السيارة بشكل مباشر,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:37,120 --> 00:23:40,200",Speaker_1,السائق هو صخر شيخ الجبل وقد توفي مباشرة,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:40,320 --> 00:23:43,600",Speaker_2,أما المرأة التي كانت معه فقد أخرجوها حية وأسعفوها,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:44,040 --> 00:23:47,360",Speaker_1,إنه زوجته على الأرجح  صخر ليس متزوجاً,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:47,480 --> 00:23:52,000",Speaker_2,رحمه الله وألهم أهله الصبر وأعان أخاه على هذه المصيبة,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:52,600 --> 00:23:55,600",Speaker_1,بئساً ما هذا؟,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:56,200 --> 00:23:57,680",Speaker_2,وكأنها ساحة حرب,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:23:59,760 --> 00:24:02,080",Speaker_1,لماذا لم تخبرهم عن السيارة التي رأيناها؟,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:24:02,200 --> 00:24:05,840",Speaker_2,اصمتي لا أريد سماع شيء منك لا علاقة لنا بالأمر,4af6e3f0-b1da-46ab-be7c-a8172f00992c
Al Hayba (S5E1),"00:26:51,600 --> 00:26:55,520",Speaker_1,سامحني على التأخير  لا عليك كيف هو الوضع هناك؟,7f8ce3ad-0b8c-4a00-b16d-5c1cc588be42
Al Hayba (S5E1),"00:26:55,680 --> 00:26:57,200",Speaker_2,إنهم في حالة هياج,7f8ce3ad-0b8c-4a00-b16d-5c1cc588be42
Al Hayba (S5E1),"00:26:57,760 --> 00:27:00,000",Speaker_1,ونظرة جبل لا يمكن تفسيرها,7f8ce3ad-0b8c-4a00-b16d-5c1cc588be42
Al Hayba (S5E1),"00:27:00,120 --> 00:27:03,280",Speaker_2,لقد قضينا على من هو أقوى منه وسيرضخ لنا في النهاية,7f8ce3ad-0b8c-4a00-b16d-5c1cc588be42
Al Hayba (S5E1),"00:27:03,520 --> 00:27:05,560",Speaker_1,ولكن لا تسألني كيف ومن؟,7f8ce3ad-0b8c-4a00-b16d-5c1cc588be42
Al Hayba (S5E1),"00:27:19,680 --> 00:27:22,480",Speaker_1,بداية، وبعد أن اكتمل النصاب,3fe8bde0-c55f-48f1-a5bf-081903342be1
Al Hayba (S5E1),"00:27:23,160 --> 00:27:25,320",Speaker_2,أود أن أخبركم أن رسالتنا قد وصلت,3fe8bde0-c55f-48f1-a5bf-081903342be1
Al Hayba (S5E1),"00:27:25,800 --> 00:27:29,120",Speaker_1,كي تعرفوا أن دم زيدان لم يكن رخيصاً,3fe8bde0-c55f-48f1-a5bf-081903342be1
Al Hayba (S5E1),"00:27:30,240 --> 00:27:31,760",Speaker_2,نعود إلى موضوعنا,3fe8bde0-c55f-48f1-a5bf-081903342be1
Al Hayba (S5E1),"00:27:36,120 --> 00:27:37,920",Speaker_1,هل فكرتم بما تحدثنا به؟,3fe8bde0-c55f-48f1-a5bf-081903342be1
Al Hayba (S5E1),"00:27:48,880 --> 00:27:50,200",Speaker_1,ما الأمر أيها السادة؟,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:27:50,440 --> 00:27:53,480",Speaker_2,هل صمتم علامة رضا؟ أم أنكم ما زلتم تفكرون؟,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:27:53,960 --> 00:27:56,360",Speaker_1,بصراحة النسبة قاسية,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:27:57,080 --> 00:27:59,280",Speaker_2,وضربتان على الرأس تؤلمان,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:00,040 --> 00:28:04,160",Speaker_1,دفعنا 30 بالمئة لندخل النقود إلى المصرف,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:04,920 --> 00:28:08,200",Speaker_2,والآن، 30 بالمئة حتى نصرّفها نقداً,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:08,600 --> 00:28:10,080",Speaker_1,ماذا بقي لنا؟,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:10,400 --> 00:28:13,200",Speaker_2,من يسمعك يظن أنك لا تجد قوت يومك يا صديقي,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:14,720 --> 00:28:16,360",Speaker_1,أرني معدتك,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:18,400 --> 00:28:20,960",Speaker_2,يا جماعة لا تستكثروا النسبة,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:21,400 --> 00:28:25,320",Speaker_1,العرض الذي طرحه العجوز علينا هو فرصة لا تأت كل يوم,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:25,880 --> 00:28:29,760",Speaker_2,ستستلمون نقودكم العالقة في المصارف ناقصة قليلاً,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:29,960 --> 00:28:31,280",Speaker_1,بهذا القدر,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:31,400 --> 00:28:34,480",Speaker_2,أو يمكنكم تركها أرقاماً على الشاشات,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:35,240 --> 00:28:37,520",Speaker_1,من ناحيتي، أريد تسيير أموري,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:37,880 --> 00:28:39,160",Speaker_2,ففي هذا الأيام,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:39,280 --> 00:28:44,280",Speaker_1,فخذ عصفور في اليد أفضل من 10 عصافير على الشجرة,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:44,400 --> 00:28:46,880",Speaker_2,حسناً، لنجعلهما فخذاً وجناحاً,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:47,000 --> 00:28:49,920",Speaker_1,الفخذ يكفيني أنا والعوض على الله,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:50,480 --> 00:28:52,920",Speaker_2,ولكن نقودي كثيرة نوعاً ما,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:53,160 --> 00:28:55,440",Speaker_1,ستزيد النسبة  أيضاً؟,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:28:56,440 --> 00:28:58,760",Speaker_2,أتظنها عملية نقل للبطاطس؟,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:00,240 --> 00:29:05,200",Speaker_1,أتحداكم أن تخرجوا دولاراً واحداً من المصرف هذه الأيام,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:05,920 --> 00:29:09,400",Speaker_2,هناك إجراءات مطولة وأشخاص كثر يرتشون,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:09,680 --> 00:29:14,040",Speaker_1,والعجوز لا منفعة له ويده ممدودة لمساعدتنا,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:14,360 --> 00:29:16,960",Speaker_2,ولكنها لن تبقى ممدودة كثيراً,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:17,480 --> 00:29:21,800",Speaker_1,إنها فرصة ومن يريد الاستفادة مرحباً به,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:22,720 --> 00:29:26,480",Speaker_2,سيعطيني شيكاً ممتازاً ويستلم المبالغ نقداً هنا,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:27,000 --> 00:29:29,600",Speaker_1,ومن لا يريد فليتدبر أمره,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:30,400 --> 00:29:31,760",Speaker_2,الأمر ليس إلزامياً,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:31,920 --> 00:29:35,880",Speaker_1,ولكن يا سليم إن أصبحت الشيكات مع العجوز,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:36,040 --> 00:29:38,840",Speaker_2,فهذا يعني أن النقود  لا، لا,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:40,040 --> 00:29:43,040",Speaker_1,أتشك في العجوز؟ ماذا بك؟,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:43,440 --> 00:29:46,480",Speaker_2,يا أخي الدنيا فيها حياة وموت,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:46,920 --> 00:29:50,520",Speaker_1,وعلى المرء قول ما له وما عليه,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:51,120 --> 00:29:53,800",Speaker_2,لقد قلت ما لديّ,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:29:54,800 --> 00:29:58,360",Speaker_1,ولتحسموا أموركم في الاجتماع القادم,8e6ebeb2-7b5b-4c8e-9328-d2375520d602
Al Hayba (S5E1),"00:30:05,280 --> 00:30:08,720",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:08,960 --> 00:30:12,640",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:12,760 --> 00:30:16,520",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:16,680 --> 00:30:20,360",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:20,480 --> 00:30:24,240",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:24,360 --> 00:30:28,160",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:28,280 --> 00:30:31,920",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:32,040 --> 00:30:35,920",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:36,040 --> 00:30:39,800",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:39,960 --> 00:30:43,640",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:43,760 --> 00:30:47,520",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:47,640 --> 00:30:51,280",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:51,400 --> 00:30:55,320",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:55,440 --> 00:30:59,200",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:30:59,320 --> 00:31:02,960",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:03,160 --> 00:31:06,800",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:06,920 --> 00:31:10,680",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:10,880 --> 00:31:14,640",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:14,760 --> 00:31:18,480",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:18,600 --> 00:31:22,360",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:22,520 --> 00:31:25,400",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:25,520 --> 00:31:27,320",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:27,440 --> 00:31:31,200",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:31,320 --> 00:31:35,080",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:35,200 --> 00:31:38,880",Speaker_1,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:39,000 --> 00:31:41,720",Speaker_2,لا إله إلا الله  لا إله إلا الله,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:42,160 --> 00:31:45,440",Speaker_1,ألديك شيء؟  لا، سيدي كل شيء على ما يرام,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:45,880 --> 00:31:48,040",Speaker_2,فتشوا الخارجين قبل الداخلين,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:48,160 --> 00:31:50,080",Speaker_1,أريد أن يتم الدفن بخير,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:31:50,440 --> 00:31:51,560",Speaker_2,حاضر سيدي,f4f2c15f-045d-47c4-87df-4841a4b9d288
Al Hayba (S5E1),"00:32:03,440 --> 00:32:07,440",Speaker_1,عظم الله أجركم يا شباب مأجورين جميعاً,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:08,160 --> 00:32:09,600",Speaker_2,رحم الله أمواتكم,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:10,520 --> 00:32:12,080",Speaker_1,يا حيّ، يا قيّوم,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:12,680 --> 00:32:15,960",Speaker_2,يا عبد الله ابن أمة الله,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:16,920 --> 00:32:21,120",Speaker_1,اذكر العهد الذي خرجت عليه من الدنيا,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:22,040 --> 00:32:28,880",Speaker_2,شهادة ألا إله إلا الله وحده لا شريك له,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:29,920 --> 00:32:33,320",Speaker_1,وأن محمد عبده ورسوله,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:34,240 --> 00:32:39,360",Speaker_2,وأن الجنة حق وأن النار حق,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:39,840 --> 00:32:42,000",Speaker_1,وأن البعث حق,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:42,680 --> 00:32:46,760",Speaker_2,وأن الساعة آتية لا ريب فيها,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:47,600 --> 00:32:50,640",Speaker_1,وأن الله يبعث من في القبور,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:51,560 --> 00:32:54,440",Speaker_2,اللهم اغفر لهما  آمين,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:54,560 --> 00:32:57,320",Speaker_1,اللهم ارحمهما  آمين,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:32:57,520 --> 00:33:02,920",Speaker_2,اللهم ثبتهما في مثويهما  آمين,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:33:03,160 --> 00:33:05,360",Speaker_1,الفاتحة,3be5fb0b-e7fc-447f-bf73-5ec11f488fa5
Al Hayba (S5E1),"00:33:40,640 --> 00:33:44,440",Speaker_1,رحمهما الله يا كبير وما أصابك قد أصابنا يا معلم جبل,a7db9036-79e9-4a89-97e4-9b361a1e43da
Al Hayba (S5E1),"00:33:49,320 --> 00:33:51,600",Speaker_2,لن أسأل إن كنت تود التقدم بدعوى على أحد,a7db9036-79e9-4a89-97e4-9b361a1e43da
Al Hayba (S5E1),"00:33:51,760 --> 00:33:53,320",Speaker_1,فأنا أعرف جوابك مسبقاً,a7db9036-79e9-4a89-97e4-9b361a1e43da
Al Hayba (S5E1),"00:33:53,560 --> 00:33:56,720",Speaker_2,ونحن بكل الأحوال قمنا بما يجب وباشرنا التحقيقات,a7db9036-79e9-4a89-97e4-9b361a1e43da
Al Hayba (S5E1),"00:33:56,840 --> 00:34:01,200",Speaker_1,جبل إن لزمك أي شيء فأنا جاهز,a7db9036-79e9-4a89-97e4-9b361a1e43da
Al Hayba (S5E1),"00:34:01,760 --> 00:34:03,200",Speaker_2,العوض بسلامتك,a7db9036-79e9-4a89-97e4-9b361a1e43da
Al Hayba (S5E1),"00:34:06,280 --> 00:34:08,720",Speaker_1,البقية بحياتك يا معلم جبل,a7db9036-79e9-4a89-97e4-9b361a1e43da
Al Hayba (S5E1),"00:34:14,320 --> 00:34:16,520",Speaker_1,إن لزمكم أي شيء,42af4142-4f69-4167-aff9-3977424b75b8
Al Hayba (S5E1),"00:34:16,800 --> 00:34:21,200",Speaker_2,فأنا وأبو فارس والمختار وكل عشائر تل أصفر,42af4142-4f69-4167-aff9-3977424b75b8
Al Hayba (S5E1),"00:34:21,520 --> 00:34:23,680",Speaker_1,جاهزون يا أبا سلطان,42af4142-4f69-4167-aff9-3977424b75b8
Al Hayba (S5E1),"00:34:24,760 --> 00:34:28,280",Speaker_2,ألهمكم الله الصبر يا جماعة رحمه الله,42af4142-4f69-4167-aff9-3977424b75b8
Al Hayba (S5E1),"00:34:29,640 --> 00:34:31,000",Speaker_1,سلمت,42af4142-4f69-4167-aff9-3977424b75b8
Al Hayba (S5E1),"00:36:02,200 --> 00:36:03,680",Speaker_1,يا ويلي,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:04,040 --> 00:36:07,240",Speaker_2,يا ويلي لقد أعيا البكاء قلبه,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:08,400 --> 00:36:10,080",Speaker_1,يا الله,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:11,080 --> 00:36:15,760",Speaker_2,أطعمته وأرحته وغيرت له حفاضه ولم يسكت,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:17,280 --> 00:36:21,600",Speaker_1,قمت بدهن بطنه بزيت دافئ تحسباً لشعوره بالمغص,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:21,760 --> 00:36:23,280",Speaker_2,ولم ينفع ذلك,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:23,800 --> 00:36:26,920",Speaker_1,يا ويلي كفى يا حبيبي كفى يا قلبي كفى,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:27,040 --> 00:36:29,520",Speaker_2,كفى يا قلبي كفى كفى,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:33,240 --> 00:36:35,520",Speaker_1,لا عليك اهدأ,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:36,000 --> 00:36:39,040",Speaker_2,لا عليك يا حبيبي سلامتك,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:39,400 --> 00:36:40,760",Speaker_1,يا حبيب قلبي,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:36:41,480 --> 00:36:43,880",Speaker_2,هاته عنك أعطني إياه,37891024-07f6-444a-b262-7aae923fca33
Al Hayba (S5E1),"00:38:05,960 --> 00:38:08,000",Speaker_1,تصور يا معلم جبل,23502c1b-001a-4fd9-b506-44b518086d8a
Al Hayba (S5E1),"00:38:08,400 --> 00:38:13,800",Speaker_2,أن علي لم يحمل ابنه ولم يعطه اسماً حتى الآن,23502c1b-001a-4fd9-b506-44b518086d8a
Al Hayba (S5E1),"00:38:18,680 --> 00:38:23,640",Speaker_1,لقد فتشنا السهل بأكمله يا معلم ولم نجد شيئاً,23502c1b-001a-4fd9-b506-44b518086d8a
Al Hayba (S5E1),"00:38:24,360 --> 00:38:27,840",Speaker_2,يبدو أنها يد غريبة  مستحيل,23502c1b-001a-4fd9-b506-44b518086d8a
Al Hayba (S5E1),"00:38:28,200 --> 00:38:31,200",Speaker_1,يستحيل أن تمتد يد غريبة علينا,23502c1b-001a-4fd9-b506-44b518086d8a
Al Hayba (S5E1),"00:38:31,320 --> 00:38:35,080",Speaker_2,بدون أن تكون لها أصابع تتغلغل فيما بيننا هنا,23502c1b-001a-4fd9-b506-44b518086d8a
Al Hayba (S5E1),"00:38:37,480 --> 00:38:40,320",Speaker_1,ابقوا صاحين يا علاء  بأمرك,23502c1b-001a-4fd9-b506-44b518086d8a
Al Hayba (S5E1),"00:38:56,480 --> 00:38:58,240",Speaker_1,إنه يتناول العشاء,20f160bd-5286-4525-9c42-be8f367c8fa9
Al Hayba (S5E1),"00:38:59,800 --> 00:39:01,640",Speaker_2,من المؤكد أن يفكر بأمر,20f160bd-5286-4525-9c42-be8f367c8fa9
